state,district,simplification_tolerance_m,area,perimeter,convex_hull_area,polsby_popper,reock,convex_hull_ratio
Michigan,8,1000,5896524286.239625,454092.3464430629,7753892685.93139,0.35934995223338456,0.37897090162489966,0.7604598780349693
Michigan,8,2500,5893410264.6607895,452986.93876697175,7753892685.93139,0.36091520541717126,0.3787707627790096,0.760058270519239
Michigan,9,0,12189565039.20986,1073626.7554222522,14827534635.102259,0.13288973068818274,0.48129112559182774,0.8220898038135518
Michigan,9,100,12190891637.949215,983732.0052815058,14826122264.657516,0.15830394309548215,0.48136663049616596,0.8222575950968541
Michigan,9,250,12189756222.076067,903954.967690772,14817209533.684212,0.1874611568978445,0.4813217977366516,0.8226755648129892
Michigan,9,500,12191274157.332035,841176.5409731166,14816589175.177444,0.21651333867089637,0.48138173456499667,0.8228124579276547
Michigan,9,1000,12197042956.682098,783831.0600146897,14816589175.177444,0.2494706621697634,0.4816095199956808,0.823201805251918
Michigan,9,2500,12191826930.548574,752676.510396483,14776011443.500914,0.27043439582999385,0.48307913541699066,0.8251094672717671
Missouri,1,0,667320770.1099898,174928.6496861459,872029634.678976,0.2740454645289525,0.524514199852607,0.7652501056981319
Missouri,1,100,667311706.6767412,171765.61168338178,871126407.3678212,0.2842275471387072,0.5256941934748265,0.7660331509098404
Missouri,1,250,665637844.8607147,167445.40258314463,870089229.174071,0.2983330814487957,0.5243755601756348,0.7650225086599095
Missouri,1,500,664364207.285615,162565.97611606074,865953528.0536357,0.31590520282595164,0.5239360187077772,0.767205382001129
Missouri,1,1000,659288448.9728894,151824.20110190372,853336515.7493767,0.3594208953411247,0.5199331350889295,0.7726007698075834
Missouri,1,2500,627063224.535304,136153.58739732974,843770972.9431193,0.42507250858775536,0.4945194303639629,0.7431675711100527
Missouri,2,0,4702871618.31361,525091.2739941488,6011158695.747266,0.21434007823320206,0.47906697534114795,0.7823569225748052
Missouri,2,100,4703796096.719291,517103.25023053784,6010198623.562937,0.22105676816239575,0.4791611490953661,0.7826357149459412
Missouri,2,250,4707867256.974211,506906.7907750976,6009487208.3188505,0.23023845082630917,0.4795758655894036,0.7834058204595519
Missouri,2,500,4707203686.675717,494006.0634787878,6008533241.510847,0.2423864266199929,0.4795082697363583,0.7834197627726014
Missouri,2,1000,4710510310.966376,472513.2489829595,6008533241.510847,0.26512448752788575,0.4798451053187555,0.783970084150174
Missouri,2,2500,4721747700.719742,432653.23146268586,5976811780.298042,0.3169806400209649,0.4809898234301792,0.7900111086456675
Missouri,3,0,19890273455.03548,1345476.6306967123,31239180875.511513,0.1380696741679435,0.3682313227342214,0.6367091869117325
Missouri,3,100,19889771831.40434,1333773.4738075898,31238077769.822098,0.14049973765907153,0.36822203610803617,0.6367156128479544
Missouri,3,250,19887836733.629448,1315020.5051497663,31236623324.648884,0.14452146667994625,0.3681862113812415,0.6366833100662297
Missouri,3,500,19868409298.24691,1291852.9956048164,31232871267.13526,0.14960522749671812,0.36782654864235564,0.6361377770334363
Missouri,3,1000,19882353637.99987,1261201.1603884657,31211265425.867165,0.15707567505384684,0.36808470209027544,0.6370249128547618
Missouri,3,2500,19738269053.568268,1209671.5253147248,31052336979.803562,0.16950558527088241,0.36541724469051645,0.6356452033354538
Missouri,4,0,37969153086.235725,1252378.9577476333,48240235016.77894,0.30420703280613864,0.5277989867787563,0.7870847451930796
Missouri,4,100,37968155178.815384,1247181.0223907314,48235781327.29212,0.3067399710371402,0.5277851151360531,0.7871367299140805
Missouri,4,250,37957786358.87296,1237237.3802057297,48216568634.50466,0.3116051850884647,0.5276409809583096,0.787235330796843
Missouri,4,500,37948963917.36084,1226008.2855900966,48195344274.42925,0.3172655935842475,0.5275183425712895,0.7873989591458365
Missouri,4,1000,37917362044.53587,1210596.6512855545,48194605187.42141,0.32512401006416425,0.5270790534351993,0.7867553203741597
Missouri,4,2500,38002663560.427345,1178476.3833538815,48183993737.957596,0.34386037581110007,0.5282648068692029,0.7886989145627883
Missouri,5,0,1111115974.3901474,189739.81659092446,1325642494.5231824,0.38783973604816796,0.3687288560003593,0.8381716631600608
Missouri,5,100,1112308283.7042265,188123.20198603463,1324557348.7169566,0.39495745098374035,0.3691818387317895,0.8397584934934476
Missouri,5,250,1109234921.7526596,185078.85996522848,1322235731.1234612,0.40693005443972496,0.3681617713341169,0.8389085967372688
Missouri,5,500,1109615978.1287627,184005.23477192712,1322235731.1234612,0.4118340103401642,0.36828824624727835,0.839196787690768
Missouri,5,1000,1115369837.350629,178607.6635303025,1319273137.2353413,0.43936815991675476,0.3701979868816449,0.8454426955800749
Missouri,5,2500,1080495924.365018,165610.17913218364,1252863999.4487343,0.495061260451088,0.36143985598201345,0.8624207614237785
Missouri,6,0,53049241244.94154,1490701.0606881399,65173701669.26671,0.29999078863205125,0.30031833325522017,0.8139669818686611
Missouri,6,100,53052816529.014694,1484304.6278149714,65172330806.22776,0.30260230105829533,0.3003385733817246,0.8140389621287728
Missouri,6,250,53053877115.61455,1472250.4587936448,65168897076.35618,0.3075838966278674,0.30046168901151593,0.8140981280295895
Missouri,6,500,53117534357.55108,1455910.763986331,65148429305.895874,0.31490405834422125,0.3008222010696334,0.8153310052671368
Missouri,6,1000,53148519222.29461,1429840.0787202106,65120453455.94256,0.32668267310814186,0.3013194795770739,0.8161570812502466
Missouri,6,2500,53339827403.172195,1358956.396305758,65073588826.57681,0.36295302961301457,0.3024040795310213,0.8196847348518695
Missouri,7,0,15209526253.151205,604917.6151071573,16785136357.628113,0.5223157096881105,0.5261135650733592,0.9061306342166913
Missouri,7,100,15204548205.41565,604591.1907068811,16773987364.76901,0.5227087306093677,0.5259413691483064,0.9064361308242244
Missouri,7,250,15202122824.739677,603626.6711651656,16766258920.522327,0.5242968633852455,0.5258574726710028,0.9067092961407087
Missouri,7,500,15165400900.960293,602287.8755460688,16734670220.59419,0.5253582035858858,0.5245872225716347,0.9062264568737837
Missouri,7,1000,15181762423.839682,600915.3550170391,16734670220.59419,0.5283302190625945,0.525153184915815,0.9072041590133366
Missouri,7,2500,15163887412.135681,600600.0594206947,16734670220.59419,0.5282623677520808,0.5245348693958333,0.906136016560072
Missouri,8,0,47884654490.88802,1493189.3148609367,65572360118.738045,0.26988358792483325,0.5199525009683345,0.7302566874850741
Missouri,8,100,47884425801.07117,1487523.2902104128,65566106033.14756,0.2719421955811891,0.519950017754445,0.7303228557886715
Missouri,8,250,47879718430.16865,1477111.0199664251,65559106981.37573,0.2757624795171711,0.5198989030643089,0.7303290211651371
Missouri,8,500,47880858271.00865,1464882.3923706552,65555068870.94653,0.2803924225153301,0.5199112799541672,0.7303913960531137
Missouri,8,1000,47810940044.85247,1446118.1235224016,65555068870.94653,0.2872960194936436,0.5191520773048854,0.7293248389224389
Missouri,8,2500,47812129529.644104,1408111.4573336535,65531924329.82174,0.30302180931139944,0.5191649932504221,0.7296005728292972
